strategy,symbol,side,entry_ts,exit_ts,entry,exit,qty,pnl,stop,target
VWAPReversion,NVDA,short,2025-09-22 14:21:00,2025-09-22 15:00:00,183.014999,183.38102899799998,1366,-499.9969772679832,183.38102899799998,180.15149498067424
VWAPReversion,NVDA,short,2025-09-22 14:22:00,2025-09-22 14:59:00,182.94501,183.31090002,1366,-499.8057673199929,183.31090002,180.15645982746602
VWAPReversion,NVDA,short,2025-09-22 14:23:00,2025-09-22 14:48:00,182.7825,183.148065,1367,-499.72735500000505,183.148065,180.1634574975094
VWAPReversion,NVDA,short,2025-09-22 14:25:00,2025-09-22 14:59:00,182.86011,183.22583021999998,1367,-499.93954073998066,183.22583021999998,180.17146078852932
VWAPReversion,NVDA,short,2025-09-22 14:27:00,2025-09-22 14:48:00,182.81149,183.17711298,1367,-499.8066136600163,183.17711298,180.17770971094083
VWAPReversion,NVDA,short,2025-09-22 14:28:00,2025-09-22 14:47:00,182.73689,183.10236378,1368,-499.96813104000285,183.10236378,180.18138942018751
VWAPReversion,NVDA,short,2025-09-22 14:29:00,2025-09-22 14:46:00,182.685,183.05037000000002,1368,-499.8261600000176,183.05037000000002,180.1851171765202
VWAPReversion,NVDA,short,2025-09-22 14:30:00,2025-09-22 14:46:00,182.67599,183.04134198000003,1368,-499.80150864001916,183.04134198000003,180.18895638520593
VWAPReversion,NVDA,short,2025-09-22 14:33:00,2025-09-22 14:48:00,182.815,183.18063,1367,-499.8162100000138,183.18063,180.20455591071527
VWAPReversion,NVDA,short,2025-09-22 14:35:00,2025-09-22 14:47:00,182.74001,183.10549002000002,1368,-499.9766673600093,183.10549002000002,180.21212796968823
VWAPReversion,NVDA,short,2025-09-22 14:36:00,2025-09-22 14:38:00,182.5751,182.94025019999998,1369,-499.8906237999836,182.94025019999998,180.21631116221985
VWAPReversion,NVDA,short,2025-09-22 14:41:00,2025-09-22 14:48:00,182.778,183.143556,1367,-499.7150519999973,183.143556,180.24331275372458
VWAPReversion,NVDA,short,2025-09-22 14:43:00,2025-09-22 14:48:00,182.7999,183.16549980000002,1367,-499.774926600017,183.16549980000002,180.25050535331997
VWAPReversion,NVDA,short,2025-09-22 14:45:00,2025-09-22 14:59:00,182.85001,183.21571002,1367,-499.9119273399882,183.21571002,180.25798182345682
VWAPReversion,NVDA,short,2025-09-22 14:49:00,2025-09-22 15:00:00,183.074402,183.440550804,1365,-499.793117460007,183.440550804,180.2781079894484
VWAPReversion,NVDA,short,2025-09-22 14:50:00,2025-09-22 15:00:00,183.014999,183.38102899799998,1366,-499.9969772679832,183.38102899799998,180.28165932009182
VWAPReversion,NVDA,short,2025-09-22 14:52:00,2025-09-22 14:59:00,182.98441,183.35037882,1366,-499.91340812000846,183.35037882,180.29191137282442
VWAPReversion,NVDA,short,2025-09-22 14:54:00,2025-09-22 14:59:00,182.9832,183.3491664,1366,-499.9101023999873,183.3491664,180.29821667973346
VWAPReversion,NVDA,short,2025-09-22 14:55:00,2025-09-22 14:59:00,182.97,183.33594,1366,-499.87403999999293,183.33594,180.30203364119726
VWAPReversion,NVDA,short,2025-09-22 15:03:00,2025-09-22 15:11:00,183.49001,183.85699002,1362,-499.82678723999965,183.85699002,180.35414824358202
VWAPReversion,NVDA,short,2025-09-22 15:05:00,2025-09-22 15:11:00,183.545,183.91208999999998,1362,-499.9765799999869,183.91208999999998,180.37086068656944
VWAPReversion,NVDA,short,2025-09-22 15:12:00,2025-09-23 09:37:00,183.84,180.42096060909196,1359,4646.474532244026,184.20768,180.42096060909196
VWAPReversion,NVDA,short,2025-09-22 15:13:00,2025-09-23 09:37:00,183.8284,180.42831318353876,1359,4620.717983570806,184.19605679999998,180.42831318353876
VWAPReversion,NVDA,short,2025-09-22 15:15:00,2025-09-23 09:37:00,183.88499,180.44308145989643,1359,4677.553706000731,184.25275997999998,180.44308145989643
VWAPReversion,NVDA,short,2025-09-22 15:16:00,2025-09-23 09:37:00,183.75999,180.45108120004687,1360,4500.115967936237,184.12750997999999,180.45108120004687
VWAPReversion,NVDA,short,2025-09-22 15:17:00,2025-09-23 09:37:00,183.6301,180.45816791197907,1361,4316.9995717964775,183.9973602,180.45816791197907
VWAPReversion,NVDA,short,2025-09-22 15:18:00,2025-09-23 09:37:00,183.58,180.46321742045276,1361,4241.941090763805,183.94716000000003,180.46321742045276
VWAPReversion,NVDA,short,2025-09-22 15:19:00,2025-09-23 09:36:00,183.44991,180.47188570004238,1362,4056.0690965422655,183.81680981999997,180.47188570004238
VWAPReversion,NVDA,short,2025-09-22 15:20:00,2025-09-22 15:50:00,183.39,183.75678,1363,-499.9211400000077,183.75678,180.47909107992797
VWAPReversion,NVDA,short,2025-09-22 15:22:00,2025-09-22 15:50:00,183.2299,183.5963598,1364,-499.85116720000167,183.5963598,180.48923826881753
VWAPReversion,NVDA,short,2025-09-22 15:23:00,2025-09-22 15:50:00,183.070007,183.436147014,1365,-499.7811191099939,183.436147014,180.49636955412416
VWAPReversion,NVDA,short,2025-09-22 15:27:00,2025-09-22 15:50:00,183.1042,183.4704084,1365,-499.8744660000068,183.4704084,180.5159302481367
VWAPReversion,NVDA,short,2025-09-22 15:30:00,2025-09-22 15:50:00,183.185,183.55137,1364,-499.7286799999853,183.55137,180.53299919549156
VWAPReversion,NVDA,short,2025-09-22 15:31:00,2025-09-22 15:50:00,183.16499,183.53131997999998,1364,-499.6740927199851,183.53131997999998,180.53691235868462
VWAPReversion,NVDA,short,2025-09-22 15:33:00,2025-09-22 15:50:00,183.085007,183.451177014,1365,-499.82206911000685,183.451177014,180.54660168058172
VWAPReversion,NVDA,short,2025-09-22 15:34:00,2025-09-22 15:50:00,183.0050049,183.37101490979998,1366,-499.9696733867904,183.37101490979998,180.55471391143507
VWAPReversion,NVDA,short,2025-09-22 15:36:00,2025-09-22 15:45:00,182.845,183.21069,1367,-499.89823000000104,183.21069,180.5660436066834
